"regionUbigeo","provinciaUbigeo","regionNombre","provinciaNombre","pob2012","ide2012","identificacion2012","medicos2012","escolaridad2012","AguaDesague2012","electrificacion2012"
"060000","061000","CAJAMARCA","San Marcos",54622,0.580462279617537,95.5956457641423,4.46530400254976,69.8849738615329,66.3362558515844,50.9720909939259
"060000","061100","CAJAMARCA","San Miguel",57492,0.578651867095886,96.5258007003274,6.90824622635244,85.7770063889369,48.1128993390389,47.3964834090526
"060000","061200","CAJAMARCA","San Pablo",23885,0.558747292755973,96.9911425701416,3.71456743486783,75.1290631889791,55.086042276595,45.9764526174912
"060000","061300","CAJAMARCA","Santa Cruz",45955,0.534877360178087,96.0783808560168,6.71981792959516,87.9763199377583,13.7899549814301,58.394327764513
"060000","060100","CAJAMARCA","Cajamarca",368639,0.748135349550028,98.0678307609967,15.7258508508817,86.1346861681584,76.1244409518964,87.5309654758264
"070000","070100",NA,"Callao",969170,0.851351245582631,99.4938554198257,26.4218185370383,89.8492927804137,93.0431840315329,99.2529263311457
"080000","080100","CUSCO","Cusco",427580,0.876225747973573,97.8854340038416,30.5147210057229,99.5,90.3695716400732,99.5
"080000","080200","CUSCO","Acomayo",28318,0.633116455097244,97.1990349735236,10.453705652051,83.1267037988353,48.2393434120555,70.5703026107894
"080000","080300","CUSCO","Anta",57262,0.63790818765249,97.975497470711,4.62730687767435,82.8919127345701,43.539728606632,86.8347768848748
"080000","080400","CUSCO","Calca",72583,0.632099289751559,96.9540376051814,6.33671373267538,77.7239967538489,52.6436200157129,78.1668009465776
"080000","080500","CUSCO","Canas",39973,0.568022086782261,98.340335155167,5.32894749774573,84.5397076593353,34.0964211988828,58.1530002148359
"080000","080600","CUSCO","Canchis",102826,0.734364943374458,97.838024179714,10.8020547869977,92.7148325735843,70.1059331412641,88.5202571476703
"080000","080700","CUSCO","Chumbivilcas",81878,0.532931091601353,97.8607902431043,6.04905184041523,76.0087214140873,39.4396755217885,43.0746055543377
"080000","080800","CUSCO","Espinar",68390,0.61085553945093,98.7316848243529,8.98121181991704,88.4131919858594,45.8511000594216,57.4631064893026
"080000","080900","CUSCO","La Convención",179515,0.606934477289429,96.3226823807743,9.27180217129071,84.7680902341666,40.919720537111,66.0037418738447
"080000","081000","CUSCO","Paruro",31521,0.557341870622753,97.6096658672981,4.85435164897656,74.889072170468,41.1514118584885,56.9301993334945
