ÍNDICE DE DENSIDAD DEL ESTADO 2012: DEPARTAMENTAL Y PROVINCIAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ubigeo 2010,DEPARTAMENTO,,,,,,IDE,,IDENTIDAD,,SALUD,,EDUCACIÓN,,SANEAMIENTO,,ELECTRIFICACIÓN,
,,,,,Población 2012,,Índice de Densidad del Estado,,Población con acta nacimiento o DNI,,"Médicos por cada 10,000 habitantes",,Tasa asistencia a Secundaria (Pob. 12 a 16 años),,Viviendas con agua y desague,,Viviendas electrificadas,
,,Provincia,,,,,,,,,,,,,,,,
,,Distrito,,, habitantes ,ranking, IDE ,ranking,%,ranking,Razon,ranking,%,ranking,%,ranking,%,Ranking
,,,,,,,,,,,,,,,,,,
151000,,Yauyos,,,"27,842",157,0.6657,78, 98.4199 ,71,14.4953,51,83.6558,88,52.3377,106,74.2986,96
160000,LORETO,,,,"1,006,953",11,0.6082,24, 93.6345 ,25,9.7324,22,70.3678,25,47.0025,23,76.8568,19
160100,,Maynas,,,"550,031",6,0.6779,69, 95.9809 ,162,12.4254,69,79.0188,117,57.2983,90,85.9357,46
160200,,Alto Amazonas,,,"117,163",52,0.5685,158, 94.0398 ,184,10.8140,87,61.7112,178,44.4909,133,66.0007,127
160300,,Loreto,,,"69,508",88,0.5070,182, 89.8845 ,191,6.2437,153,60.1239,181,32.4640,170,60.6210,148
160400,,Mariscal Ramón Castilla,,,"67,143",95,0.4707,190, 91.3034 ,188,4.5533,180,55.2372,189,23.2198,189,58.0174,157
160500,,Requena,,,"72,706",84,0.5378,173, 92.4981 ,186,4.9098,171,64.9070,173,27.0976,180,76.2223,81
160600,,Ucayali,,,"70,782",87,0.5572,169, 90.6369 ,189,4.5009,182,71.0551,159,33.5148,169,75.8978,82
160700,,Datem del Marañón,,,"59,620",101,0.4295,193, 81.9682 ,194,4.7538,174,44.0338,194,32.0778,171,48.7369,177
170000,MADRE DE DIOS,,,,"127,639",25,0.7580,9, 98.2251 ,13,23.8733,5,85.0559,13,72.9928,12,82.9543,11
170100,,Tambopata,,,"91,988",64,0.8027,18, 99.2041 ,32,26.2887,11,86.1364,63,84.2227,22,87.9527,33
170200,,Manú,,,"22,906",168,0.5941,132, 93.5355 ,185,12.1582,74,81.1164,107,37.0703,158,65.0632,130
170300,,Tahuamanú,,,"12,745",181,0.7263,44, 99.5000 ,7,27.4945,9,82.3381,99,56.4859,92,79.0064,70
180000,MOQUEGUA,,,,"174,859",24,0.8164,5, 99.3932 ,4,22.5750,7,91.8044,1,82.1037,7,97.2814,3
180100,,Mariscal Nieto,,,"78,890",78,0.8263,11, 99.4366 ,17,26.9476,10,94.0548,16,80.8463,30,93.9171,14
180200,,General Sánchez Cerro,,,"27,275",159,0.6417,94, 98.8706 ,48,13.2708,60,86.5558,60,38.3928,155,74.9002,90
180300,,Ilo,,,"68,694",90,0.8504,6, 99.5000 ,8,21.2476,21,91.3031,34,99.5000,1,99.5000,4
190000,PASCO,,,,"297,591",22,0.6607,18, 98.7841 ,10,10.2201,21,85.8520,10,51.0577,21,77.6229,17
190100,,Pasco,,,"156,259",34,0.7169,48, 99.5000 ,9,10.7282,90,94.3146,14,58.5859,85,88.1771,32
190200,,Daniel A. Carrión,,,"51,789",120,0.6271,106, 99.5000 ,10,4.6297,177,95.0075,11,41.9339,142,69.4167,114
190300,,Oxapampa,,,"89,543",65,0.5744,151, 94.7617 ,178,12.5667,66,65.4202,171,42.7355,141,63.3166,139
200000,PIURA,,,,"1,799,607",2,0.7021,14, 97.7398 ,16,11.7847,18,83.9029,16,73.4404,11,76.3456,21
200100,,Piura,,,"734,437",5,0.7426,40, 98.5621 ,63,15.3145,47,89.0860,48,77.9517,32,80.1926,62
200200,,Ayabaca,,,"141,708",41,0.5102,181, 94.8213 ,177,3.6732,189,60.0579,182,51.9557,107,42.1461,188
200300,,Huancabamba,,,"127,423",47,0.5334,176, 94.1863 ,183,5.6703,163,65.4099,172,56.4812,93,41.1786,190
200400,,Morropón,,,"159,486",33,0.6653,79, 97.1181 ,125,7.3392,132,80.9296,110,67.5797,59,74.8067,92
200500,,Paita,,,"122,725",48,0.7154,50, 99.2638 ,29,6.7769,140,85.3579,70,76.5216,35,85.2715,48
200600,,Sullana,,,"309,605",13,0.7548,35, 97.9271 ,95,12.9206,64,91.7215,31,78.0363,31,88.1845,31
200700,,Talara,,,"133,148",44,0.8082,17, 99.0036 ,44,17.2074,35,97.9404,5,84.5123,21,93.9844,13
200800,,Sechura,,,"71,075",86,0.6745,72, 97.9712 ,90,5.9599,159,79.8400,113,72.3870,49,77.1370,74
210000,PUNO,,,,"1,377,122",5,0.6609,17, 98.8503 ,8,9.2327,24,87.7140,7,51.5000,20,76.9884,18
210100,,Puno,,,"244,692",20,0.7483,36, 98.9834 ,45,18.5388,29,93.5960,22,64.1132,68,86.5741,44
210200,,Azángaro,,,"139,092",42,0.5716,153, 98.7557 ,52,2.9063,191,81.0440,109,39.6135,150,61.5461,144
210300,,Carabaya,,,"87,812",68,0.6022,129, 98.2289 ,81,4.6188,179,74.6275,144,52.4479,105,68.1171,118
210400,,Chucuito,,,"142,711",40,0.6036,128, 98.6818 ,57,3.6953,188,88.2616,52,37.3401,157,71.3466,108
210500,,El Collao,,,"84,865",72,0.6141,115, 99.4070 ,19,4.2362,185,92.4920,27,34.7087,164,73.3596,101
210600,,Huancané,,,"67,726",93,0.5866,137, 98.5900 ,61,6.4200,147,86.7475,59,33.6600,168,63.5913,137
210700,,Lampa,,,"51,039",123,0.5839,140, 99.3094 ,25,5.6917,162,83.7246,86,39.5906,151,59.8291,150
210800,,Melgar,,,"77,355",80,0.6322,101, 99.0987 ,38,6.0440,157,81.0894,108,60.8358,78,65.0074,131
210900,,Moho,,,"26,799",161,0.6098,120, 98.1119 ,82,2.5980,194,83.4812,90,45.2047,129,73.7554,99
211000,,San Antonio de Putina,,,"62,247",98,0.5691,157, 98.8164 ,51,2.6400,192,88.4295,50,29.5768,176,63.3287,138
