ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL
120200,120000,JUNIN,Concepcion,0.6705, 97.8206 ,6.3452,85.5002,58.1659,83.1976,58942,0,0
120300,120000,JUNIN,Chanchamayo,0.6428, 97.5518 ,8.1031,80.7343,58.9306,70.7030,193140,0,0
120400,120000,JUNIN,Jauja,0.7053, 98.0137 ,10.3796,90.8331,55.8857,90.6086,88524,0,0
120500,120000,JUNIN,Junin,0.6267, 98.9176 ,12.5177,88.0828,23.2858,82.1882,27722,0,0
120600,120000,JUNIN,Satipo 1/,0.5807, 96.1116 ,5.1873,72.4222,51.8365,61.3319,244727,0,0
120700,120000,JUNIN,Tarma,0.7105, 98.8506 ,10.9357,84.8047,62.1884,91.1852,111631,0,0
120800,120000,JUNIN,Yauli,0.7727, 99.5000 ,12.4015,99.0315,75.5876,91.5730,45858,0,0
120900,120000,JUNIN,Chupaca,0.6888, 97.8224 ,6.7123,93.7842,58.9627,82.6588,53564,0,0
130100,130000,LA LIBERTAD,Trujillo,0.8880, 99.3464 ,32.9186,95.7003,98.0614,96.0229,914036,1,1
130200,130000,LA LIBERTAD,Ascope,0.7553, 99.5000 ,17.6020,96.5098,65.4569,86.8584,120884,1,0
130300,130000,LA LIBERTAD,Bolivar,0.5894, 96.7847 ,17.0746,59.0046,51.4671,58.9619,16910,0,0
130400,130000,LA LIBERTAD,Chepen,0.7570, 99.0960 ,13.0308,92.1739,84.7516,80.7373,84037,1,0
130500,130000,LA LIBERTAD,Julcan,0.5272, 97.7276 ,9.0297,60.0022,54.2229,36.6195,32400,0,0
130600,130000,LA LIBERTAD,Otuzco,0.5877, 97.0273 ,11.9985,59.9136,61.6578,55.2410,92237,0,0
130700,130000,LA LIBERTAD,Pacasmayo,0.7841, 99.3010 ,15.9519,93.8715,82.1331,90.1695,101954,1,0
130800,130000,LA LIBERTAD,Pataz,0.6038, 95.7538 ,11.8223,61.6108,58.1123,66.7366,85687,0,0
130900,130000,LA LIBERTAD,Sanchez Carrion,0.4838, 96.2120 ,8.2730,48.1215,39.5255,44.2572,149616,0,0
131000,130000,LA LIBERTAD,Santiago de Chuco,0.5667, 98.0769 ,11.9058,68.7819,45.5874,51.0685,61329,0,0
131100,130000,LA LIBERTAD,Gran Chimu,0.5843, 97.0097 ,10.7215,67.2040,66.2424,43.8284,31402,0,0
131200,130000,LA LIBERTAD,Viru,0.6949, 98.3704 ,5.9394,74.0766,84.9306,80.1798,101167,1,0
140100,140000,LAMBAYEQUE,Chiclayo,0.8317, 98.4564 ,25.7449,88.9529,86.0233,99.5000,836299,0,1
140200,140000,LAMBAYEQUE,Ferre¤afe,0.6891, 96.8825 ,14.0778,73.4821,76.3114,74.4212,104820,0,0
140300,140000,LAMBAYEQUE,Lambayeque,0.6604, 97.8990 ,8.3964,72.9188,73.0946,72.3053,288141,0,0
150100,150000,LIMA,Lima,0.8999, 99.3591 ,38.3657,89.5797,97.5604,99.5000,8481415,1,1
150200,150000,LIMA,Barranca,0.8118, 99.2950 ,21.4062,83.9918,96.9944,89.9645,143216,1,0
150300,150000,LIMA,Cajatambo,0.6624, 97.7730 ,16.2382,78.1014,51.6375,76.6230,8139,0,0
150400,150000,LIMA,Canta,0.6628, 98.6936 ,29.0179,76.8965,39.9944,67.4349,14669,0,0
150500,150000,LIMA,Ca¤ete,0.7697, 99.5034 ,16.3725,86.2599,86.3501,85.4381,222877,1,0
150600,150000,LIMA,Huaral,0.7770, 99.0524 ,17.7469,84.0086,85.1771,90.6684,182409,1,0
150700,150000,LIMA,Huarochiri,0.7134, 99.0322 ,16.2867,81.9827,73.6597,74.8972,79177,0,0
150800,150000,LIMA,Huaura,0.7884, 99.4633 ,22.0320,84.1302,85.1470,88.7237,213188,1,0
150900,150000,LIMA,Oyon,0.7104, 99.0082 ,9.4051,77.9139,77.8538,84.7600,22217,0,0
151000,150000,LIMA,Yauyos,0.6657, 98.4199 ,14.4953,83.6558,52.3377,74.2986,27842,0,0
160100,160000,LORETO,Maynas,0.6779, 95.9809 ,12.4254,79.0188,57.2983,85.9357,550031,0,1
160200,160000,LORETO,Alto Amazonas,0.5685, 94.0398 ,10.8140,61.7112,44.4909,66.0007,117163,0,0
160300,160000,LORETO,Loreto,0.5070, 89.8845 ,6.2437,60.1239,32.4640,60.6210,69508,0,0
160400,160000,LORETO,Mariscal Ramon Castilla,0.4707, 91.3034 ,4.5533,55.2372,23.2198,58.0174,67143,0,0
160500,160000,LORETO,Requena,0.5378, 92.4981 ,4.9098,64.9070,27.0976,76.2223,72706,0,0
160600,160000,LORETO,Ucayali,0.5572, 90.6369 ,4.5009,71.0551,33.5148,75.8978,70782,0,0
160700,160000,LORETO,Datem del Mara¤on,0.4295, 81.9682 ,4.7538,44.0338,32.0778,48.7369,59620,0,0
170100,170000,MADRE DE DIOS,Tambopata,0.8027, 99.2041 ,26.2887,86.1364,84.2227,87.9527,91988,0,1
170200,170000,MADRE DE DIOS,Manu,0.5941, 93.5355 ,12.1582,81.1164,37.0703,65.0632,22906,0,0
170300,170000,MADRE DE DIOS,Tahuamanu,0.7263, 99.5000 ,27.4945,82.3381,56.4859,79.0064,12745,0,0
180100,180000,MOQUEGUA,Mariscal Nieto,0.8263, 99.4366 ,26.9476,94.0548,80.8463,93.9171,78890,0,1
180200,180000,MOQUEGUA,General Sanchez Cerro,0.6417, 98.8706 ,13.2708,86.5558,38.3928,74.9002,27275,0,0
180300,180000,MOQUEGUA,Ilo,0.8504, 99.5000 ,21.2476,91.3031,99.5000,99.5000,68694,1,0
190100,190000,PASCO,Pasco,0.7169, 99.5000 ,10.7282,94.3146,58.5859,88.1771,156259,0,1
190200,190000,PASCO,Daniel A. Carrion,0.6271, 99.5000 ,4.6297,95.0075,41.9339,69.4167,51789,0,0
190300,190000,PASCO,Oxapampa,0.5744, 94.7617 ,12.5667,65.4202,42.7355,63.3166,89543,0,0
200100,200000,PIURA,Piura,0.7426, 98.5621 ,15.3145,89.0860,77.9517,80.1926,734437,0,1
200200,200000,PIURA,Ayabaca,0.5102, 94.8213 ,3.6732,60.0579,51.9557,42.1461,141708,0,0
200300,200000,PIURA,Huancabamba,0.5334, 94.1863 ,5.6703,65.4099,56.4812,41.1786,127423,0,0
200400,200000,PIURA,Morropon,0.6653, 97.1181 ,7.3392,80.9296,67.5797,74.8067,159486,0,0
200500,200000,PIURA,Paita,0.7154, 99.2638 ,6.7769,85.3579,76.5216,85.2715,122725,1,0
200600,200000,PIURA,Sullana,0.7548, 97.9271 ,12.9206,91.7215,78.0363,88.1845,309605,0,0
200700,200000,PIURA,Talara,0.8082, 99.0036 ,17.2074,97.9404,84.5123,93.9844,133148,1,0
200800,200000,PIURA,Sechura,0.6745, 97.9712 ,5.9599,79.8400,72.3870,77.1370,71075,0,0
210100,210000,PUNO,Puno,0.7483, 98.9834 ,18.5388,93.5960,64.1132,86.5741,244692,1,1
210200,210000,PUNO,Azangaro,0.5716, 98.7557 ,2.9063,81.0440,39.6135,61.5461,139092,0,0
210300,210000,PUNO,Carabaya,0.6022, 98.2289 ,4.6188,74.6275,52.4479,68.1171,87812,0,0
210400,210000,PUNO,Chucuito,0.6036, 98.6818 ,3.6953,88.2616,37.3401,71.3466,142711,0,0
210500,210000,PUNO,El Collao,0.6141, 99.4070 ,4.2362,92.4920,34.7087,73.3596,84865,0,0
210600,210000,PUNO,Huancane,0.5866, 98.5900 ,6.4200,86.7475,33.6600,63.5913,67726,0,0
210700,210000,PUNO,Lampa,0.5839, 99.3094 ,5.6917,83.7246,39.5906,59.8291,51039,0,0
210800,210000,PUNO,Melgar,0.6322, 99.0987 ,6.0440,81.0894,60.8358,65.0074,77355,0,0
210900,210000,PUNO,Moho,0.6098, 98.1119 ,2.5980,83.4812,45.2047,73.7554,26799,0,0
211000,210000,PUNO,San Antonio de Putina,0.5691, 98.8164 ,2.6400,88.4295,29.5768,63.3287,62247,0,0
211100,210000,PUNO,San Roman,0.7813, 99.0267 ,15.5070,94.0194,72.2405,99.5000,276352,0,0
211200,210000,PUNO,Sandia,0.6152, 98.5936 ,6.4219,84.2576,50.2309,63.8324,68253,0,0
211300,210000,PUNO,Yunguyo,0.6807, 98.3785 ,6.8712,87.1140,52.7099,90.6861,48179,0,0
