ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACIàN,SANEAMIENTO,ELECTRIFICACIàN
090400,090000,HUANCAVELICA,Castrovirreyna,0.5652, 98.0852 ,4.7333,99.5000,20.8772,56.2698
090500,090000,HUANCAVELICA,Churcampa,0.5615, 97.9364 ,3.7926,75.4469,25.9138,75.1098
090600,090000,HUANCAVELICA,Huaytar ,0.5709, 97.4424 ,6.9062,93.0713,24.0430,59.3830
090700,090000,HUANCAVELICA,Tayacaja,0.5827, 97.2705 ,4.6864,77.7900,28.8652,79.6273
100100,100000,HUµNUCO,Hu nuco,0.7179, 97.4669 ,21.9022,84.4585,65.5353,74.9612
100200,100000,HUµNUCO,Ambo,0.5594, 97.9204 ,11.1829,74.8834,25.5836,62.6859
100300,100000,HUµNUCO,Dos de Mayo,0.5822, 96.8027 ,13.0303,74.0063,49.4522,49.1357
100400,100000,HUµNUCO,Huacaybamba,0.5826, 96.5215 ,6.5479,66.9303,53.1725,63.7385
100500,100000,HUµNUCO,Huamalies,0.5598, 94.9934 ,11.3609,75.2894,41.5260,49.1445
100600,100000,HUµNUCO,Leoncio Prado,0.6803, 95.4785 ,18.5407,91.4246,51.5353,70.8055
100700,100000,HUµNUCO,Mara¤¢n,0.4770, 96.8355 ,6.7634,64.0645,23.8282,42.5136
100800,100000,HUµNUCO,Pachitea,0.4821, 94.7089 ,8.9220,52.4708,35.9075,43.0686
100900,100000,HUµNUCO,Puerto Inca,0.4807, 90.0761 ,13.7197,68.0194,25.5408,33.8304
101000,100000,HUµNUCO,Lauricocha,0.5554, 96.3078 ,11.2596,82.0013,36.3976,44.2322
101100,100000,HUµNUCO,Yarowilca,0.5294, 98.2606 ,9.5985,76.9046,31.8684,41.6769
110100,110000,ICA,Ica,0.8450, 99.5035 ,30.0232,87.7433,94.2660,90.9563
110200,110000,ICA,Chincha,0.7622, 99.4989 ,16.2647,84.4472,83.1503,86.8764
110300,110000,ICA,Nazca,0.7812, 99.3843 ,18.7779,87.5390,84.1663,88.2205
110400,110000,ICA,Palpa,0.7750, 99.3064 ,18.1570,85.4934,91.1803,81.2415
110500,110000,ICA,Pisco,0.7092, 99.2571 ,13.8738,84.8986,70.4590,76.8762
120100,120000,JUNÖN,Huancayo,0.8151, 98.8701 ,20.3101,94.5642,85.4177,94.8395
120200,120000,JUNÖN,Concepci¢n,0.6705, 97.8206 ,6.3452,85.5002,58.1659,83.1976
120300,120000,JUNÖN,Chanchamayo,0.6428, 97.5518 ,8.1031,80.7343,58.9306,70.7030
120400,120000,JUNÖN,Jauja,0.7053, 98.0137 ,10.3796,90.8331,55.8857,90.6086
120500,120000,JUNÖN,Jun¡n,0.6267, 98.9176 ,12.5177,88.0828,23.2858,82.1882
120600,120000,JUNÖN,Satipo 1/,0.5807, 96.1116 ,5.1873,72.4222,51.8365,61.3319
120700,120000,JUNÖN,Tarma,0.7105, 98.8506 ,10.9357,84.8047,62.1884,91.1852
120800,120000,JUNÖN,Yauli,0.7727, 99.5000 ,12.4015,99.0315,75.5876,91.5730
120900,120000,JUNÖN,Chupaca,0.6888, 97.8224 ,6.7123,93.7842,58.9627,82.6588
130100,130000,LA LIBERTAD,Trujillo,0.8880, 99.3464 ,32.9186,95.7003,98.0614,96.0229
130200,130000,LA LIBERTAD,Ascope,0.7553, 99.5000 ,17.6020,96.5098,65.4569,86.8584
130300,130000,LA LIBERTAD,Bol¡var,0.5894, 96.7847 ,17.0746,59.0046,51.4671,58.9619
130400,130000,LA LIBERTAD,Chep‚n,0.7570, 99.0960 ,13.0308,92.1739,84.7516,80.7373
130500,130000,LA LIBERTAD,Julc n,0.5272, 97.7276 ,9.0297,60.0022,54.2229,36.6195
130600,130000,LA LIBERTAD,Otuzco,0.5877, 97.0273 ,11.9985,59.9136,61.6578,55.2410
130700,130000,LA LIBERTAD,Pacasmayo,0.7841, 99.3010 ,15.9519,93.8715,82.1331,90.1695
130800,130000,LA LIBERTAD,Pataz,0.6038, 95.7538 ,11.8223,61.6108,58.1123,66.7366
